Feu tricolore;Departementale;M12;Sas velo
48.89775128323725, 2.1139498360377598;Oui;Non;Oui
48.897858844244745, 2.113735259316708;Oui;Non;Non
48.897878240467385, 2.1138908274394708;Oui;Non;Non
48.897976984756795, 2.1138881452304576;Oui;Non;Non
48.89788000375998, 2.114236832402167;Oui;Non;Non
48.89791879618128, 2.1145023710944693;Oui;Non;Non
48.89809865155942, 2.1142958410004566;Oui;Non;Non
48.89403365198509, 2.1189333749310575;Oui;Non;Oui
48.89409540902546, 2.1191748447173007;Non;Non;Non
48.89366780844442, 2.1192147827007637;Non;Non;Non
48.89386436258739, 2.119330341865004;Oui;Non;Oui
48.89145095697595, 2.122400940300871;Oui;Non;Oui
48.891180252401995, 2.1225260211898975;Non;Non;Non
48.89142011728835, 2.1227553361531144;Non;Non;Non
48.89128647841268, 2.122724065931089;Oui;Non;Oui
48.88796635228922, 2.1272229921260473;Oui;Non;Oui
48.887735820360334, 2.1271353420705057;Non;Non;Non
48.887977878846975, 2.127591122360207;Non;Non;Non
48.88778046037195, 2.1274877010121678;Oui;Non;Oui
48.88583344081643, 2.130076591521518;Oui;Non;Oui
48.88570373843258, 2.1299931407546246;Non;Non;Non
48.88576717962958, 2.1303503085605793;Non;Non;Non
48.88555822443907, 2.1304166700452494;Oui;Non;Oui
48.88426715946247, 2.132144012650228;Oui;Non;Non
48.884140167665755, 2.132337131699175;Oui;Non;Non
48.88429539169113, 2.1323693033580486;Non;Non;Non
48.88408373863698, 2.1321547266369967;Non;Non;Non
48.89265835839771, 2.141080442798117;Non;Non;Non
48.892947567748486, 2.1413915790436424;Non;Non;Non
48.89244677322571, 2.143733769941047;Oui;Non;Non
48.89219285124419, 2.1433286257483166;Non;Non;Non
48.89240094300537, 2.1430711336830544;Oui;Non;Non
48.89259845302834, 2.143403727600685;Non;Non;Non
48.89284641661136, 2.1414215418763174;Oui;Non;Non
48.892777263897216, 2.140974526592187;Oui;Non;Non
48.89351607715577, 2.137818453626313;Oui;Non;Non
48.893445459544985, 2.1375033855070327;Oui;Non;Non
48.89332305544997, 2.137596473815002;Non;Non;Non
48.89360552598629, 2.1377074637206577;Non;Non;Non
48.89395861192049, 2.1356093964708576;Non;Non;Non
48.893760884109135, 2.135244203878056;Non;Non;Non
48.8942410788738, 2.133955288843446;Oui;Non;Non
48.894161046734666, 2.1337154074344484;Oui;Non;Non
48.89406453722001, 2.133783433505657;Non;Non;Non
48.894325818646195, 2.133908744689461;Non;Non;Non
48.89453531357941, 2.1324873578327805;Oui;Non;Non
48.89470714584573, 2.132243896104246;Non;Non;Non
48.894525898095715, 2.1318787035114437;Oui;Non;Non
48.894394081137484, 2.131803516801161;Non;Non;Non
48.89429521819073, 2.1322367354651717;Non;Non;Non
48.89577193075829, 2.125724845644442;Oui;Non;Non
48.89568013198728, 2.1256353376560098;Oui;Non;Non
48.89649905689916, 2.1218280143715087;Non;Non;Non
48.89657202397146, 2.1217098638267786;Non;Non;Non
48.89655083999369, 2.121795791495673;Non;Non;Non
48.896334292150634, 2.1217277654244646;Non;Non;Non
48.89716475232851, 2.1182647172871825;Oui;Non;Non
48.89904073651559, 2.1192175733926097;Oui;Non;Non
48.899240349929215, 2.119704852247125;Oui;Non;Non
48.89962928242485, 2.122128376288896;Oui;Non;Non
48.89945066195558, 2.1218216010942927;Non;Non;Non
48.89974740206161, 2.12187419112772;Non;Non;Non
48.8997445210994, 2.1226674241322248;Oui;Non;Non
48.899819426094716, 2.122518419037515;Oui;Non;Non
48.90030658474538, 2.125535727657263;Oui;Non;Non
48.900369965189824, 2.125662820238045;Oui;Non;Non
48.900246085155224, 2.1256715852436163;Non;Non;Non
48.900534177785715, 2.1257066452659013;Non;Non;Non
48.900472260986945, 2.1258770015874844;Oui;Non;Non
48.901530851797844, 2.131402333577959;Oui;Non;Non
48.90145679886457, 2.1314774354303276;Non;Non;Non
48.901485009518744, 2.1317081054054587;Non;Non;Non
48.901710694179016, 2.13163300355309;Non;Non;Non
48.90167895733524, 2.131418426832038;Non;Non;Non
48.901675520503105, 2.1317397724378715;Oui;Non;Non
48.90255698636381, 2.1357562810116337;Non;Non;Non
48.902372197852976, 2.1356664805885406;Oui;Non;Non
48.902341399701406, 2.1358460814347278;Non;Non;Non
48.90251596624011, 2.135952062442623;Oui;Non;Non
48.90259442093126, 2.1368102563432414;Oui;Non;Non
48.902747594016994, 2.1368159397465547;Non;Non;Non
48.90258134515828, 2.1370518009840413;Non;Non;Non
48.90273451828409, 2.1370205422658204;Oui;Non;Non
48.90285472273418, 2.138106940138973;Oui;Non;Non
48.90281848346055, 2.1381714487874732;Non;Non;Non
48.90297806682692, 2.1382182483031515;Oui;Non;Non
48.89710303616767, 2.117907983488433;Non;Non;Non
