Feu tricolore;Departementale;M12;Sas velo
48.90547160927651, 2.115626227095185;Oui;Non;Non
48.90588798759208, 2.115504844161523;Oui;Non;Non
48.90597275880764, 2.1156300203118272;Oui;Non;Non
48.90576418816251, 2.115868225732054;Non;Oui;Non
48.9075790363784, 2.11676460313811;Oui;Non;Non
48.908012879226796, 2.1171240752709015;Oui;Non;Non
48.90821859681789, 2.1171457675547294;Oui;Non;Non
48.90976762553517, 2.1190117110296134;Oui;Non;Non
48.910030364371195, 2.119036502211305;Oui;Non;Non
48.909789941684956, 2.119211937522767;Non;Non;Non
48.92268086892375, 2.1336110830278066;Oui;Non;Non
48.92294755875423, 2.1336414287612224;Oui;Non;Non
48.922930242230784, 2.1334529792893275;Non;Non;Non
48.92674046187958, 2.139567502983206;Oui;Non;Non
48.92696168901046, 2.1396864913995484;Oui;Non;Non
48.92675875889751, 2.1397497831103687;Non;Non;Non
48.92800607649207, 2.1414481530204337;Oui;Non;Non
48.92813415223057, 2.1414405580151357;Oui;Non;Non
48.927962830064615, 2.141577268110507;Non;Non;Non
48.92849675449456, 2.1423139836249763;Oui;Non;Non
48.92860154272986, 2.1421620835190076;Oui;Non;Non
48.92919953494767, 2.1433820745526537;Oui;Non;Non
48.929415761359664, 2.1433390361896025;Oui;Non;Non
48.930092710302965, 2.1447010738074823;Oui;Non;Non
48.93001952707761, 2.1446327187597967;Oui;Non;Non
48.930054455448534, 2.1445187936803194;Oui;Non;Non
48.93026180945498, 2.1450934720217534;Non;Non;Non
48.930740169741206, 2.1456287306602024;Oui;Non;Non
48.93068993210828, 2.1456996713634786;Oui;Non;Non
48.9309562515175, 2.145727310598507;Oui;Non;Non
48.931566069163594, 2.1471953930999574;Oui;Non;Non
48.93172888447814, 2.146945718676535;Non;Non;Oui
48.90705004296405, 2.15457499126399;Oui;Non;Non
48.906849064087105, 2.154282630481557;Oui;Non;Non
48.90637505272836, 2.1525430447836946;Oui;Non;Non
48.90618464913258, 2.152384794451816;Non;Non;Non
48.90624282808521, 2.152261412837211;Oui;Oui;Non
48.9060902569497, 2.1502270406473025;Oui;Non;Non
48.906172205054624, 2.150108390466721;Non;Oui;Non
48.905929090787836, 2.150192218064599;Non;Oui;Non
48.905743621597324, 2.1469545381693798;Oui;Non;Non
48.90555627852081, 2.1467768895063033;Oui;Non;Non
48.90561402132475, 2.146499679504579;Oui;Oui;Non
48.90755846397123, 2.149122435327943;Non;Non;Non
48.90767530165299, 2.1488531331689837;Non;Non;Oui
48.90783253549586, 2.148929516263469;Non;Oui;Non
48.90439403421247, 2.1426353951178383;Oui;Oui;Non
